,사고명,사고일시,공공민간구분,날씨,온도,습도,시설물 분류,시설물 중분류,시설물 소분류,연면적,지상층수,지하층수,공사종류,인적사고종류,안전방호조치여부,개인보호조치여부,물적사고종류,공종(대분류),공종(소분류),사고객체(대분류),사고객체(소분류),작업프로세스,사고위치 장소,사고위치 장소(직접입력),사고위치 부위,사고위치 부위(직접입력),주원인 유형,사고원인(주원인),사고원인(보조원인1),사고원인(보조원인2),구체적사고원인,사망자,내국인 사망자,외국인 사망자,남성 사망자,여성 사망자,10이상 20미만 사망자,20이상 30미만 사망자,30이상 40미만 사망자,40이상 50미만 사망자,50이상 60미만 사망자,60이상 사망자,부상자,내국인 부상자,외국인 부상자,남성 부상자,여성 부상자,10이상 20미만 부상자,20이상 30미만 부상자,30이상 40미만 부상자,40이상 50미만 부상자,50이상 60미만 부상자,60이상 부상자,피해금액,피해내용,사고신고사유,공사비,해당공종 공사비,공사시작일,공사종료일,해당공종 공사시작일,해당공종 공사종료일,낙찰율,공정율,작업자수,안전관리계획,설계안정성검토,사고조사방법,향후조치계획,사고경위,사고발생후 조치사항,재발방지대책,Month,Time,사고종류,공종,공사규모_0-5,공사규모_5-10,공사규모_10-30,공사규모_30-50,공사규모_50-100,공사규모_100-500,공사규모_500-1000,공사규모_1000-,공사기간,construction_id
8767,전선관 밴딩작업 중 손잡이가 풀리며 옆구리 타격,  2021-06-03 10:16,공공,맑음,27.0,50.0,산업환경설비,발전시설,미입력,미입력,미입력,미입력,산업환경설비/발전시설,물체에 맞음,해당없음,해당없음,기타,산업설비,산업설비공사,건설공구,공구류,준비작업,내부,미입력,바닥,미입력,환경적요인,작업자의 단순과실,미입력,미입력,장비(공구)사용절차 미준수,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,피해없음,제1늑골을 침범하지 않은 다발골절,3일이상 휴업이 필요한 부상,"1,000억원 이상","1,000억원 이상",2015-10-29,2021-07-31,2017-05-01,2021-10-31,90% 이상,90% 이상,500인 이상,비대상현장,대상,일반조사,작업공구 사용방법 숙지 및 작업절차 준수 관리 확인,"보일러 2호기 EL25,300 자재제작장에서 밴딩기로 전선관 밴딩을 완료후 밴딩기 우측하단 걸쇠를 내리고 전선관을 잡으려는 순간 세워져 있던 밴딩기 손잡이가 떨어지면서 우측 갈비뼈를 충격하여 사고 발생",보건실 상담 후 병원후송,작업공구 사용방법 숙지 및 작업절차 준수 관리 철저,6.0,10.0,물체에 맞음,설비공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1644.0,265.0
3999,"경상남도 고성군 하이면 하이로 34 고성하이화력 1,2호기 발전소 건설공사",  2020-05-21 10:00,공공,맑음,16.0,70.0,산업환경설비,발전시설,미입력,미입력,미입력,미입력,산업환경설비/발전시설,넘어짐,미입력,미입력,기타,기타,기타,미입력,미입력,설치작업,미입력,미입력,미입력,미입력,미입력,기타,미입력,미입력,H-Beam 가적치시 전도위험에 대한 인지미흡,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,"1,000만원 미만",오른쪽 발가락 골절,3일이상 휴업이 필요한 부상,"1,000억원 이상","1,000억원 이상",2015-10-29,2021-07-31,2016-12-28,2021-04-30,75~79%,80~89%,500인 이상,대상현장(1/2종),대상,일반조사,산재처리,"석탄취급설비 남측 Lattice Column 지조립장  1,2절주 H빔(규격 250*250*1740)을 인양 후 고정 작업 중 레벨 및 대각길이가 맞지 않아이를 맞추기 위해 해당 H빔을 임시거치(H=65cm) 후 센터링 작업을 완료하고 거치된 H빔을 조립하던 중 H빔이 전도되면서 근로자의 오른쪽 발을 찍음",산재처리,철골 지조립완료 후 인양도구 해체,5.0,10.0,넘어짐,기타공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1584.0,265.0
4830,가설비계 설치중 허리 염좌 상해,  2020-07-24 11:00,공공,흐림,22.0,90.0,산업환경설비,발전시설,미입력,미입력,미입력,미입력,산업환경설비/발전시설,기타,미입력,미입력,기타,산업설비,산업설비공사,가시설,비계,설치작업,외부,미입력,상부(위),미입력,관리적요인,무모한 또는 불필요한 행위 및 동작,미입력,미입력,"신청인의 요양급여신청 관련하여 사실에 근거하여 아래와 같이 보험가입자의견서를 작성하여 근로복지공단 통영지사에 제출함(첨부 보험가입자의견서 참조)○ 신청인이 비계공으로서 재해 당일 수행한 업무도 허리에 부담을 주는 무리한 동작이 아니었던 바, 신청인이 주장하는 상병은 장기간에 걸쳐서 서서히 발현된 전형적인 퇴행성(만성) 허리 질환의 일환임이 명백하고, 자연경과적인 퇴행성(진구성) 변화에 의한 기존질환인바 당사현장의 업무와의 인과관계를 인정할 수 없다는 점○ 신청인은 기존 질병을 보유하고 있었고, 현장 공사종료가 임박하여 사전에 퇴사를 통보받은 자였으며, 퇴사일 5일 전 기존 허리질환을 숨기고 허리통증을 빌미로 산재신청을 하는 것은 명백히 부당수급자에 해당됨으로 업무상 재해로 인정할 수 없다는 취지로 보험가입자의견서를 근로복지공단 통영지사에 제출함",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,"1,000만원 미만",요추 염좌,3일이상 휴업이 필요한 부상,"1,000억원 이상",분류불능,2015-10-29,2021-07-31,2018-10-01,2021-04-01,75~79%,70~79%,500인 이상,대상현장(1/2종),대상,일반조사,신체에 과도하게 부담을 주는 자세로 작업하지 않도록 교육 실시,"터빈#2호기 D열에서 동료 근로자와 비계를 설치 하던 중 강관의 수평을 맞추기 위해 강관을 들고 클립을 채우는 중 허리를 삐끗하였다고 주장함→ 사업주 의견서 제출 및 불승인 추진 하였으나, 최종 근로복지공단에서 일부 승인됨(20.08.25)",근로복지공단 통영지사로부터 아래와 같이 일부승인 결정통지를 받음(첨부참조)1)S3350 요추염좌(승인)2)M511 요추3-4번간 추간판 탈출증(불승인)3)M511 요추5-천추간 추간판 탈출증(불승인),신체에 과도하게 부담을 주는 자세로 작업하지 않도록 교육 실시,7.0,11.0,기타,설비공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,913.0,265.0
5449,채광창 자재에 의한 좌측 무릎 협착,  2020-09-14 10:20,공공,흐림,22.0,30.0,산업환경설비,발전시설,미입력,미입력,미입력,미입력,산업환경설비/발전시설,물체에 맞음,해당없음,해당없음,기타,산업설비,산업설비공사,건설자재,창호,인양작업,외벽,미입력,고소,미입력,관리적요인,중량물 취급 미흡,미입력,미입력,"1. 기계적(Machine)   1) 원인: 인양물 하역시 지붕 경사면 상부로 과하게 하역하므로써 거터부와의 이격거리가 많이 벌어짐    2. 물질, 환경적 (Media)   1) 원인: 지붕 경사면에 자재를 하역할 수 밖에 없는 현장 여건 3. 인적 (Man)   1) 원인: 하역중 근로자의 불안전한 위치 선점 및 반복작업에 의한 위험요인 인지 부족   4. 관리적 (Management)   1) 원인: 작업방법 및 안전 대책 수립 미흡       - 정확한 작업방법 수립 후 그에 따른 주변 환경 및 자재가공 방법에 대한 안전대책 수립 부족",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,"1,000만원 미만",왼다리 무릎 내측 측부 인대의 파열,3일이상 휴업이 필요한 부상,"1,000억원 이상",분류불능,2015-10-29,2021-07-31,2018-10-01,2021-04-01,75~79%,90% 이상,500인 이상,대상현장(1/2종),대상,일반조사,"1. 기계적(Machine)   1) 원인: 인양물 하역시 지붕 경사면 상부로 과하게 하역하므로써 거터부와의 이격거리가 많이 벌어짐    2) 대책: 인양물 하역시 거터부에 최대한 맞춰서 내려 놓도록 작업방법 개선하여 미끄러져 내려오는 일이 발생되지 않도록 대책 수립 2. 물질, 환경적 (Media)   1) 원인: 지붕 경사면에 자재를 하역할 수 밖에 없는 현장 여건    2) 대책: 현장 여건을 반영한 하역 방법 강구 및 작업방법에 따른 근로자 전파교육 실시3. 인적 (Man)   1) 원인: 하역중 근로자의 불안전한 위치 선점 및 반복작업에 의한 위험요인 인지 부족    2) 대책: 지붕 경사면에 자재 하역시 최하부(거터부)에 작업자가 위치하지 않도록 작업방법 개선 및 교육 실시4. 관리적 (Management)   1) 원인: 작업방법 및 안전 대책 수립 미흡       - 정확한 작업방법 수립 후 그에 따른 주변 환경 및 자재가공 방법에 대한 안전대책 수립 부족   2) 대책: TBM 및 명일작업 사전 미팅을 통해 위험요소 파악       - 해당 작업에서의 직접 위험 요소 파악을 통해 해당 위험요소를 제거 함",Coal Shed 서측 거터 상부에서 인양한 채광창 프레임을 받던 중 지붕면에 내려 놓은 자재의 샤클을 해체하고 자재가 거터면에 접촉하면서 근로자(김00)의 왼발 안쪽 무릎에 부딪치는(협착) 사고 발생.,’20.09.14.(월) 10:39분경 : 재해자(김00)와 함께 병원 후송’20.09.14.(월) 10:49분경 : 삼천포 서울병원 도착                                     (X-ray 촬영 및 의사 진료)’20.09.14.(월) 11:24분경 : 진료 완료 후 퇴원’20.09.14.(월) 14:30분경 : MRI 촬영차 병원 방문 후 가료,"1. 기계적(Machine)   1) 원인: 인양물 하역시 지붕 경사면 상부로 과하게 하역하므로써 거터부와의 이격거리가 많이 벌어짐    2) 대책: 인양물 하역시 거터부에 최대한 맞춰서 내려 놓도록 작업방법 개선하여 미끄러져 내려오는 일이 발생되지 않도록 대책 수립 2. 물질, 환경적 (Media)   1) 원인: 지붕 경사면에 자재를 하역할 수 밖에 없는 현장 여건    2) 대책: 현장 여건을 반영한 하역 방법 강구 및 작업방법에 따른 근로자 전파교육 실시3. 인적 (Man)   1) 원인: 하역중 근로자의 불안전한 위치 선점 및 반복작업에 의한 위험요인 인지 부족    2) 대책: 지붕 경사면에 자재 하역시 최하부(거터부)에 작업자가 위치하지 않도록 작업방법 개선 및 교육 실시4. 관리적 (Management)   1) 원인: 작업방법 및 안전 대책 수립 미흡       - 정확한 작업방법 수립 후 그에 따른 주변 환경 및 자재가공 방법에 대한 안전대책 수립 부족   2) 대책: TBM 및 명일작업 사전 미팅을 통해 위험요소 파악       - 해당 작업에서의 직접 위험 요소 파악을 통해 해당 위험요소를 제거 함",9.0,10.0,물체에 맞음,설비공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,913.0,265.0
9210,달대비계 해체 중 미끄러짐 사고,  2021-07-03 14:20,공공,강우,28.0,90.0,산업환경설비,발전시설,미입력,미입력,미입력,미입력,산업환경설비/발전시설,떨어짐,조치,조치,기타,산업설비,산업설비공사,가시설,비계,해체작업,내부,미입력,상부(위),미입력,관리적요인,구조물등 그밖의 위험방치 및 미확인,미입력,미입력,디딤용 클램프 체결상태 미흡 및 강우 중 미끄럼 방지조치 미흡,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,피해없음,좌측 종골 골절,3일이상 휴업이 필요한 부상,"1,000억원 이상","1,000억원 이상",2015-10-29,2021-07-31,2019-01-01,2021-10-31,90% 이상,90% 이상,500인 이상,비대상현장,대상,일반조사,비계해체 중 경로상 부재 긴결 확인 철저 및 우천 중 해체작업 지양 확인,보일러 2호기 1층에서 생명줄에 안전고리를 체결한 상태로 보온용 달대비계 해체 작업을 하며 이동중 체결된 Cramp를 밟고 약 1.8m 아래로 미끄러져 왼쪽발이 바닥을 짚으며 발 뒤꿈지가 골절되는 사고가 발생함,인근 병원 후송,비계해체 중 경로상 부재 긴결 확인 철저 및 우천 중 해체작업 지양,7.0,14.0,떨어짐,설비공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1034.0,265.0
4718,바닥 빗물에 의한 미끄러짐 상해 사고,  2020-07-15 10:15,공공,강우,22.0,90.0,산업환경설비,발전시설,미입력,미입력,미입력,미입력,산업환경설비/발전시설,넘어짐,해당없음,해당없음,기타,산업설비,산업설비공사,기타,기타,이동,내부,미입력,바닥,미입력,관리적요인,부주의,미입력,미입력,우천으로 인해 빗물에 젖어 있는 바닥 보양재를 밟으면서 미끄러지면서 왼쪽 발목을 접질림,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,"1,000만원 미만",왼쪽 발목을 접질림,3일이상 휴업이 필요한 부상,"1,000억원 이상",분류불능,2015-10-29,2021-07-31,2018-10-01,2021-04-01,75~79%,70~79%,500인 이상,대상현장(1/2종),대상,일반조사,"1.우천 지속시 TBM교육을 통해 미끄러운 환경에 대한 위험요인에 대해 교육하고, 작업전 주변 위험적환경요인 제거2.우천시 예상되는 위험요인에 대해 반복적인 정기교육/TBM교육 실시3.무더위/우천 지속시 충분한 물, 그늘, 휴식 제공되는지 이행확인 및 관리4.우천시에는 주변 미끄러움 방지대책 수립 후 작업시작","2020년 07월 15일 오전 10 :15분경 보일러2호기 Secondary Air Duct 북측 EL. 52,00구간에서 보온작업 중 보양재 하부에 고여 있는 빗물에 미끄러져 발목을 삐느(접지름) 사고 발생", 20.07.15.(수) 10:15분경 : 발목 접질림 사고 발생 20.07.15.(수) 11:00 경 : 삼천포 정형외과 진료 20.07.15.(수) 12:00 경 : 진료 후 작업장 복귀.,1.우천시 미끄럼 방지대책 교육 강화2.우천시 미끄러운 주변환경 정리 후 작업3.우천시에는 작업전 주의 사항 교육 및 작업시작전 주변정리 철저4.TBM 활동시 일상적인/무의식적으로 행해지는 행동에 대한 위험성 도출 및 교육5.우천시 위험요인 도출 및 정리정돈후 작업,7.0,10.0,넘어짐,설비공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,913.0,265.0
4035,"비계 보강작업 중, 넘어짐으로 인한 안전사고",  2020-05-23 15:00,공공,맑음,22.0,40.0,산업환경설비,발전시설,미입력,미입력,미입력,미입력,산업환경설비/발전시설,넘어짐,조치,조치,기타,산업설비,산업설비공사,가시설,작업발판,설치작업,외부,미입력,상부(위),미입력,환경적요인,작업자의 단순과실,미입력,미입력,물기에 젖은 비계발판에서 작업 중 전도에 의한 충돌,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,"1,000만원 미만",우측 제11번 늑골의 골절,3일이상 휴업이 필요한 부상,"1,000억원 이상","1,000억원 이상",2015-10-29,2021-07-31,2019-05-01,2021-09-30,75~79%,90% 이상,500인 이상,대상현장(1/2종),대상,일반조사, 타 Package에 간섭 가능한 공정이 발생시 사전협의 후 진행- 근로자의 개인보호구(안전화) 상태 확인후 노후 안전화는 교체/지급,Raw Gas Hood 하부에서 비계 보강작업을 위해 이동 중 미끄러져 넘허지면서 작업발판에 가슴을 부딪혔다고 주장함.,20.07.03.(금‘20.05.23.(토) 15:00경 : 사고발생 : 요양급여신청 접수(방00→근로복지공단)‘20.07.06.(월) : “요양급여신청 사실통지서” (E-mail) 접수(근로복지공단→한라산업개발)‘20.07.13.(월) : SK건설에 재해사실 통보 및 “보험가입자 의견서”(근로복지공단) 및 “산업재해조사표”(고용노동부) 작성/제출, 타 Package에 간섭 가능한 공정이 발생시 사전협의 후 진행- 근로자의 개인보호구(안전화) 상태 확인후 노후 안전화는 교체/지급,5.0,15.0,넘어짐,설비공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,883.0,265.0
4544,출근길 무릎 염좌 사고,  2020-06-30 07:15,공공,강우,22.0,90.0,산업환경설비,발전시설,미입력,미입력,미입력,미입력,산업환경설비/발전시설,기타,미입력,미입력,기타,기타,기타,기타,기타,이동,외부,미입력,바닥,미입력,관리적요인,무모한 또는 불필요한 행위 및 동작,미입력,미입력,전방주시 미흡으로 인한 도로위 골재로 인한 발의 미끄러짐,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,"1,000만원 미만",우측 우측무릎 내측 및 외측 반달연골의 찢김 진단(6주),3일이상 휴업이 필요한 부상,"1,000억원 이상",분류불능,2015-10-29,2021-07-31,2016-12-28,2021-04-30,75~79%,70~79%,500인 이상,대상현장(1/2종),대상,일반조사," - 근로자 보행로 확보, 보행로 미끄럼 방지조치(섬유질의 매트 포설 등)  - 보행시 전방 주시토록 교육",2020년 6월 30일(화) 07:15경 출근하기 위해 통근버스에서 내려 현장사무실로 몇 발 걷던 중 발이 미끄러지며 접질린 사고임.,20.06.30.(화)  07 : 15분경 사고발생’20.06.30.(화)  07 : 50분경 TBM 후 SK건강관리실에서 응급처치                       12 : 00분경 오전 근무 후 통증이 있어 본인이 직접                                        병원 이동(삼천포 제일병원)하여 상기와 같이 진단 및 입원  ‘20.07.01. 관절경적 반월판 부분절제술 시행   ’20.07.16. 퇴원 후 2020년 7월 18일부터 통원물리치료 중‘20.07.27. 재해자에게 연락이 와 인지하게 됨,1.도로면에 미끄럼 방지 매트 포설2.위험예측 및 예방에 대한 습관화 필요3.현 상태의 근로자 이동로에 미끄럼방지 조치(매트설치 등4.전방 주시에 대한 교육 철저,6.0,7.0,기타,기타공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1584.0,265.0
5212,작업중 비계발판 상부에서 떨어짐,  2020-08-25 11:00,공공,흐림,36.0,55.0,기타 건축,건축물,기타,150,0,0,건축/건축물/기타,떨어짐,조치,조치,기타,산업설비,산업설비공사,가시설,비계,설비작업,내부,미입력,상부(위),미입력,관리적요인,부주의,미입력,미입력,TT-03 2층 check plate 에서 약1.8M 상부의 벨트포설 작업구역 발판에서 벨트를 중앙 센터에 맞추기위하여    양손으로 잡아당기다가 벨트를놓쳐 잡아당기던 힘의 반동으로 재해자의몸이 뒤로 밀리면서 하부로 미끄러지듯    추락하면서 좌측손을바닦에 짚어 손목이 골절,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,"1,000만원 미만",좌측 척골과 요골 모두의 하단의 골절. 폐쇄성으로 약 8주간의 치료 요함,3일이상 휴업이 필요한 부상,"1,000억원 이상","500억 ~ 1,000억원 미만",2015-10-29,2021-07-31,2018-07-01,2021-04-30,75~79%,90% 이상,500인 이상,대상현장(1/2종),대상,일반조사,재발방지대책 계획 수립 및 이행여부 확인,2020년 08월 25일 11시 00경 비디아이(주) 협력사인 덕광중공업(기계철골 설치업체) 소속 재해자 김00이 동료이자 목격자인 이00 등과 같이 TT-03 2층 ConveyorBelt 포설작업중 팀장인 나00가 belt center 를 맞추기위하여 재해자에게 반대편에 가서 belt를  잡아 당기라고 지시 재해자가 반대편에서 belt를 잡아당기다가 놓치면서                  약1.8M 하부로 미끄지면서 좌측손으로 바닥을 짚으며 좌측손목이 골절된 재해발생,11:00 삼천포 제일병원 응급실 후송,"1.고소작업 구역 구명줄 설치 및 안전고리 체결  철저 교육 조치2.작업내용 및 위험성에대한 반복적 교육조치3.작업 지시자 (관리자)의 작업내용에대한 반복적 교육 필요 4.위험성 평가와 작업 내용 안전대책 수립 후 작업5.TBM 활동시, 작업 방법에 대한 교육 철저",8.0,11.0,떨어짐,설비공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1034.0,265.0
4480,작업중 전도로 인한 상해 사고,  2020-06-24 10:00,공공,강우,24.0,90.0,산업환경설비,발전시설,미입력,미입력,미입력,미입력,산업환경설비/발전시설,넘어짐,해당없음,해당없음,기타,기계설비,기계설비공사,기타,기타,이동,내부,미입력,바닥,미입력,설계적요인,기타,미입력,미입력,배관 설치 중 그레이팅 상부에 깔린 불꽃방지포에서 미끄러져 다졌다고 주장하며 근로복지공단통영지사에 요양급여신청서를 제출함,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,"1,000만원 미만",우측 슬관절 염좌 및 슬개건염,3일이상 휴업이 필요한 부상,"1,000억원 이상",분류불능,2015-10-29,2021-07-31,2016-12-28,2021-04-30,75~79%,90% 이상,500인 이상,대상현장(1/2종),대상,일반조사,,2020. 06. 24. 10:00경 암모니아 배관 설치 중 그레이팅 상부에 깔린 불꽃방지포에서 미끄러져 다졌다고 주장하며 근로복지공단통영지사에 요양급여신청서를 제출함→ 해당 BP에서는 사고 주장일 사고 보고없이 무단 퇴사하고 본인이 산재 신청한 건으로 병원 진료일이 사고발생 주장일 8일 후 최초 진료를 받았으며 개인지병에 의한 생계형 산재로 의심됨,신청인의 요양급여신청 관련하여 사실에 근거하여 아래와 같이 보험가입자의견서를 작성하여 근로복지공단 통영지사에 제출함(첨부 보험가입자의견서 참조)○ 신청인이 주장하는 사고당일인 2020.06.24.(수)에 신청인은 당사에 어떠한 사고보고도 하지 않았다는 점○ 신청인이 주장하는 상병은 업무상 질병으로의 주장 뿐만아니라 기타 생활에서도 충분히 발병할 수 있는 질병이며 무릎 부위의 개인적인 퇴행성(진구성) 질환 내지 기왕증으로 당사현장 및 기타의 현장에서 업무상 재해로 발생한 상병인 것처럼 거짓 주장을 하고 있을 가능성을 배제할 수 없다는 점○ 신청인은 2020.06.24.(수)에 신청인이 주장하는 상병들이 발병하였다고 주장하고 있으나 사고당일 정상적으로 근무를 마치고 퇴근했다는 점 등으로 업무상 재해로 인정할 수 없다는 취지로 보험가입자의견서를 근로복지공단 통영지사에 제출함,,6.0,10.0,넘어짐,설비공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1584.0,265.0
